avg_temp,precip,snow,wind_dir,wind_speed,wind_power,air_pressure,max_temp,min_temp,features,prediction
4.0,17.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,5.5,0.5,"[4.0,17.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,5.5,0.5]",0
18.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,24.4,11.1,"[18.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,24.4,11.1]",0
1.5,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,4.1,0.3,"[1.5,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,4.1,0.3]",0
8.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,14.8,2.0,"[8.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,14.8,2.0]",0
4.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,9.8,0.0,"[4.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,9.8,0.0]",0
6.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.0,4.0,"[6.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.0,4.0]",0
8.8,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,13.7,4.5,"[8.8,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,13.7,4.5]",0
10.8,0.8,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.6,6.5,"[10.8,0.8,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.6,6.5]",0
12.1,0.8,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,17.8,5.8,"[12.1,0.8,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,17.8,5.8]",0
19.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,26.7,13.0,"[19.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,26.7,13.0]",0
18.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,25.3,11.2,"[18.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,25.3,11.2]",0
2.9,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,7.7,-1.3,"[2.9,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,7.7,-1.3]",0
21.6,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,27.5,16.9,"[21.6,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,27.5,16.9]",0
16.5,42.2,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,19.4,13.5,"[16.5,42.2,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,19.4,13.5]",0
4.8,9.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,8.9,3.2,"[4.8,9.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,8.9,3.2]",0
17.3,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,21.9,13.0,"[17.3,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,21.9,13.0]",0
